Offset;OriginalLength;OriginalString;Translation;Notes;
9331;31;固定ＭＳＧ３２　　　　　　　　;        ;;
9362;31;固定ＭＳＧ３３　　　　　　　　;        ;;
9393;31;固定ＭＳＧ３４　　　　　　　　;        ;;
9424;31;固定ＭＳＧ３５　　　　　　　　;        ;;
9455;31;固定ＭＳＧ３６　　　　　　　　;        ;;
9486;31;固定ＭＳＧ３７　　　　　　　　;        ;;
9517;31;固定ＭＳＧ３８　　　　　　　　;        ;;
9548;31;固定ＭＳＧ３９　　　　　　　　;        ;;
9579;31;固定ＭＳＧ４０　　　　　　　　;        ;;
9610;31;固定ＭＳＧ４１　　　　　　　　;        ;;
9641;31;固定ＭＳＧ４２　　　　　　　　;        ;;
9672;31;固定ＭＳＧ４３　　　　　　　　;        ;;
9703;31;固定ＭＳＧ４４　　　　　　　　;        ;;
9734;31;固定ＭＳＧ４５　　　　　　　　;        ;;
9765;31;固定ＭＳＧ４６　　　　　　　　;        ;;
9796;31;固定ＭＳＧ４７　　　　　　　　;        ;;
9827;31;固定ＭＳＧ４８　　　　　　　　;        ;;
9858;31;固定ＭＳＧ４９　　　　　　　　;        ;;
9889;31;固定ＭＳＧ５０　　　　　　　　;        ;;
9920;31;固定ＭＳＧ５１　　　　　　　　;        ;;
9951;31;固定ＭＳＧ５２　　　　　　　　;        ;;
9982;31;固定ＭＳＧ５３　　　　　　　　;        ;;
10013;31;固定ＭＳＧ５４　　　　　　　　;        ;;
10044;31;固定ＭＳＧ５５　　　　　　　　;        ;;
10075;31;固定ＭＳＧ５６　　　　　　　　;        ;;
10106;31;固定ＭＳＧ５７　　　　　　　　;        ;;
10137;31;固定ＭＳＧ５８　　　　　　　　;        ;;
10168;31;固定ＭＳＧ５９　　　　　　　　;        ;;
10199;31;固定ＭＳＧ６０　　　　　　　　;        ;;
10230;31;固定ＭＳＧ６１　　　　　　　　;        ;;
10261;31;固定ＭＳＧ６２　　　　　　　　;        ;;
10292;31;固定ＭＳＧ６３　　　　　　　　;        ;;
10323;31;固定ＭＳＧ６４　　　　　　　　;        ;;
10354;31;戦車種類１;tank kind 1;;
10385;31;戦車種類２;tank kind 2;;
10416;31;戦車種類３;tank kind 3;;
10447;31;戦車種類４;tank kind 4;;
10478;31;戦車種類５;tank kind 5;;
10509;31;戦車種類６;tank kind 6;;
10540;31;戦車種類７;tank kind 7;;
10571;31;戦車種類８;tank kind 8;;
10602;31;戦車部分名称;tank parts name;;
10633;31;戦車部分名称;tank parts name;;
10664;31;戦車部分名称;tank parts name;;
10695;31;戦車部分名称;tank parts name;;
10726;31;戦車部分名称;tank parts name;;
10757;31;戦車部分名称;tank parts name;;
10788;31;戦車部分名称;tank parts name;;
10819;31;戦車部分名称;tank parts name;;
10850;31;戦車部分名称;tank parts name;;
10881;31;戦車部分名称;tank parts name;;
10912;31;戦車部分名称;tank parts name;;
10943;31;戦車部分名称;tank parts name;;
10974;31;戦車部分名称;tank parts name;;
11005;31;戦車部分名称;tank parts name;;
11036;31;ノトシュ;soyuz;;
11067;31;ＲＫ;rk;;
11098;31;きくち;kikuti;;
11129;31;シモ;shimo;;
11160;31;ＴＡＧ;tag;;
11191;31;ほえ;hoe;;
11222;31;１時;1 o'clock;;
11253;31;２時;2 o'clock;;
11284;31;３時;3 o'clock;;
11315;31;４時;4 o'clock;;
11346;31;５時;5 o'clock;;
11377;31;６時;6 o'clock;;
11408;31;７時;7 o'clock;;
11439;31;８時;8 o'clock;;
11470;31;９時;9 o'clock;;
11501;31;１０時;10 o'clock;;
11532;31;１１時;11 o'clock;;
11563;31;１２時;12 o'clock;;
11594;31;右から;to the right;;
11625;31;左から;to the left;;
11656;31;アンバー１;Amber 1;;
11687;31;アンバー２;Amber 2;;
11718;31;アンバー３;Amber 3;;
11749;31;アンバー４;Amber 4;;
11780;31;ボーラ１;Bola 1;;
11811;31;ボーラ２;Bola 2;;
11842;31;ボーラ３;Bola 3;;
11873;31;ボーラ４;Bola 4;;
11904;31;初期戦車９;syoki 9;;
11935;31;初期戦車Ａ;syoki 10;;
11966;31;初期戦車Ｂ;syoki 11;;
11997;31;初期戦車Ｃ;syoki 12;;
12028;31;初期戦車Ｄ;syoki 13;;
12059;31;初期戦車Ｅ;syoki 14;;
12090;31;初期戦車Ｆ;syoki 15;;
12121;31;初期戦車Ｇ;syoki 16;;
12152;31;アロー１;Arrow 1;;
12183;31;アロー２;Arrow 2;;
12214;31;アロー３;Arrow 3;;
12245;31;敵戦車Ａ;atodu 4;;
12276;31;敵戦車Ｂ;atodu 5;;
12307;31;敵戦車Ｃ;atodu 6;;
12338;31;敵戦車Ｄ;atodu 7;;
12369;31;対戦車砲Ａ;atodu 8;;
12400;31;敵戦車Ｅ;atodu 9;;
12431;31;敵戦車Ｆ;Conqueror 1;;
12462;31;コンカラー１;Conqueror 2;;
12493;31;コンカラー２;Conqueror 3;;
12524;31;コンカラー３;atodu 14;;
12555;31;後詰戦車Ｅ;atodu 15;;
12586;31;後詰戦車Ｆ;atodu 16;;
12617;31;後詰戦車Ｇ;atodu 16;;
12648;31;歩兵部隊;Inf.squad;;
12679;31;歩兵部隊;Inf.squad;;
12710;31;敵歩兵１;sh 3;;
12741;31;敵歩兵２;sh 4;;
12772;31;敵歩兵３;sh 5;;
12803;31;敵歩兵４;sh 6;;
12834;31;初期歩兵７;sh 7;;
12865;31;初期歩兵８;sh 8;;
12896;31;初期歩兵９;sh 9;;
12927;31;初期歩兵Ａ;sh 10;;
12958;31;初期歩兵Ｂ;sh 11;;
12989;31;初期歩兵Ｃ;sh 12;;
13020;31;初期歩兵Ｄ;sh 13;;
13051;31;初期歩兵Ｅ;sh 14;;
13082;31;初期歩兵Ｆ;sh 15;;
13113;31;初期歩兵Ｇ;sh 16;;
13144;31;歩兵部隊;ah 1;;
13175;31;歩兵部隊;ah 2;;
13206;31;歩兵部隊;ah 3;;
13237;31;歩兵部隊;ah 4;;
13268;31;歩兵部隊;ah 5;;
13299;31;歩兵部隊;ah 6;;
13330;31;歩兵部隊;ah 7;;
13361;31;歩兵部隊;ah 8;;
13392;31;歩兵部隊;ah 9;;
13423;31;後詰歩兵Ａ;ah 10;;
13454;31;後詰歩兵Ｂ;ah 11;;
13485;31;後詰歩兵Ｃ;ah 12;;
13516;31;後詰歩兵Ｄ;ah 13;;
13547;31;後詰歩兵Ｅ;ah 14;;
13578;31;後詰歩兵Ｆ;ah 15;;
13609;31;後詰歩兵Ｇ;ah 16;;
13640;31;戦略地点名１;strategy p 1;;
13671;31;戦略地点名２;strategy p 2;;
13702;31;戦略地点名３;strategy p 3;;
13733;31;戦略地点名４;strategy p 4;;
13764;31;戦略地点名５;strategy p 5;;
13795;31;戦略地点名６;strategy p 6;;
13826;31;戦略地点名７;strategy p 7;;
13857;31;戦略地点名８;strategy p 8;;
13888;31;第３０歩兵師団：　　　　　　　;30th Infantry Division:  ;;
13919;31;ポン・エべール方向へ前進開始　;Begin your advance towards ;;
13950;31;　　　　　　　　　　　　　　　;Pont-Hebert     ;;
13981;31;戦車長：　　　　　　　　　　　;Tank Commander:    ;;
14012;31;戦車前進！　　　　　　　　　　;Move out!     ;;
14043;31;　　　　　　　　　　　　　　　;        ;;
14074;31;第１２０歩兵連隊：　　　　　　;120th Infantry Regiment:  ;;
14105;31;拠点攻撃を開始　　　　　　　　;Begin the attack!   ;;
14136;31;援護をたのむ！　　　　　　　　;Call for reinforcements!  ;;
14167;31;第１２０歩兵連隊：　　　　　　;120th Infantry Regiment:  ;;
14198;31;全拠点占領！　　　　　　　　　;All enemy outposts captured! ;;
14229;31;　　　　　　　　　　　　　　　;        ;;
14260;31;第３０歩兵師団：　　　　　　　;30th Infantry Division:  ;;
14291;31;よくやった　　　　　　　　　　;You did well.    ;;
14322;31;任務は達成した。　　　　　　　;Mission accomplished.  ;;
14353;31;第３０歩兵師団：　　　　　　　;30th Infantry Division:  ;;
14384;31;歩兵部隊全滅！　　　　　　　　;Infantry units wiped out! ;;
14415;31;任務失敗！　　　　　　　　　　;        ;;
14446;31;固定ＭＳＧ１９　　　　　　　　;30th Infantry Division:  ;;
14477;31;固定ＭＳＧ２０　　　　　　　　;Mission failed.    ;;
14508;31;固定ＭＳＧ２１　　　　　　　　;        ;;
14539;31;固定ＭＳＧ２２　　　　　　　　;        ;;
14570;31;固定ＭＳＧ２３　　　　　　　　;        ;;
14601;31;固定ＭＳＧ２４　　　　　　　　;        ;;
14632;31;固定ＭＳＧ２５　　　　　　　　;        ;;
14663;31;固定ＭＳＧ２６　　　　　　　　;        ;;
14694;31;固定ＭＳＧ２７　　　　　　　　;        ;;
14725;31;固定ＭＳＧ２８　　　　　　　　;        ;;
14756;31;固定ＭＳＧ２９　　　　　　　　;        ;;
14787;31;固定ＭＳＧ３０　　　　　　　　;        ;;
14818;31;固定ＭＳＧ３１　　　　　　　　;        ;;
14849;31;固定ＭＳＧ３２　　　　　　　　;        ;;
14880;31;固定ＭＳＧ３３　　　　　　　　;        ;;
14911;31;固定ＭＳＧ３４　　　　　　　　;        ;;
14942;31;固定ＭＳＧ３５　　　　　　　　;        ;;
14973;31;固定ＭＳＧ３６　　　　　　　　;        ;;
15004;31;固定ＭＳＧ３７　　　　　　　　;        ;;
15035;31;固定ＭＳＧ３８　　　　　　　　;        ;;
15066;31;固定ＭＳＧ３９　　　　　　　　;        ;;
15097;31;固定ＭＳＧ４０　　　　　　　　;        ;;
15128;31;固定ＭＳＧ４１　　　　　　　　;        ;;
15159;31;固定ＭＳＧ４２　　　　　　　　;        ;;
15190;31;固定ＭＳＧ４３　　　　　　　　;        ;;
15221;31;固定ＭＳＧ４４　　　　　　　　;        ;;
15252;31;固定ＭＳＧ４５　　　　　　　　;        ;;
15283;31;固定ＭＳＧ４６　　　　　　　　;        ;;
15314;31;固定ＭＳＧ４７　　　　　　　　;        ;;
15345;31;固定ＭＳＧ４８　　　　　　　　;        ;;
15376;31;固定ＭＳＧ４９　　　　　　　　;        ;;
15407;31;固定ＭＳＧ５０　　　　　　　　;        ;;
15438;31;固定ＭＳＧ５１　　　　　　　　;        ;;
15469;31;固定ＭＳＧ５２　　　　　　　　;        ;;
15500;31;固定ＭＳＧ５３　　　　　　　　;        ;;
15531;31;固定ＭＳＧ５４　　　　　　　　;        ;;
15562;31;固定ＭＳＧ５５　　　　　　　　;        ;;
15593;31;固定ＭＳＧ５６　　　　　　　　;        ;;
15624;31;固定ＭＳＧ５７　　　　　　　　;        ;;
15655;31;固定ＭＳＧ５８　　　　　　　　;        ;;
15686;31;固定ＭＳＧ５９　　　　　　　　;        ;;
15717;31;固定ＭＳＧ６０　　　　　　　　;        ;;
15748;31;固定ＭＳＧ６１　　　　　　　　;        ;;
15779;31;固定ＭＳＧ６２　　　　　　　　;        ;;
15810;31;固定ＭＳＧ６３　　　　　　　　;        ;;
15841;31;火点;Fire point;;
15872;31;戦車種類１;tank kind 1;;
15903;31;戦車種類２;tank kind 2;;
15934;31;戦車種類３;tank kind 3;;
15965;31;Ⅳ号戦車;tank kind 4;;
15996;31;Ⅲ号突撃砲;tank kind 5;;
16027;31;対戦車砲;tank kind 6;;
16058;31;ドイツ兵;tank kind 7;;
16089;31;戦車種類８;tank kind 8;;
16120;31;戦車部分名称;tank parts name;;
16151;31;戦車部分名称;tank parts name;;
16182;31;戦車部分名称;tank parts name;;
16213;31;戦車部分名称;tank parts name;;
16244;31;戦車部分名称;tank parts name;;
16275;31;戦車部分名称;tank parts name;;
16306;31;戦車部分名称;tank parts name;;
16337;31;戦車部分名称;tank parts name;;
16368;31;戦車部分名称;tank parts name;;
16399;31;戦車部分名称;tank parts name;;
16430;31;戦車部分名称;tank parts name;;
16461;31;戦車部分名称;tank parts name;;
16492;31;戦車部分名称;tank parts name;;
16523;31;戦車部分名称;tank parts name;;
16554;31;ノトシュ;soyuz;;
16585;31;ＲＫ;rk;;
16616;31;きくち;kikuti;;
16647;31;シモ;shimo;;
16678;31;ＴＡＧ;tag;;
16709;31;ほえ;hoe;;
16740;31;１時;1 o'clock;;
16771;31;２時;2 o'clock;;
16802;31;３時;3 o'clock;;
16833;31;４時;4 o'clock;;
16864;31;５時;5 o'clock;;
16895;31;６時;6 o'clock;;
16926;31;７時;7 o'clock;;
16957;31;８時;8 o'clock;;
16988;31;９時;9 o'clock;;
17019;31;１０時;10 o'clock;;
17050;31;１１時;11 o'clock;;
17081;31;１２時;12 o'clock;;
17112;31;右から;to the right;;
17143;31;左から;to the left;;
17174;31;ドジャー１;Dodger 1;;
17205;31;ドジャー２;Dodger 2;;
17236;31;ドジャー３;Dodger 3;;
17267;31;ドジャー４;Dodger 4;;
17298;31;フォックス１;Fox 1;;
17329;31;フォックス２;Fox 2;;
17360;31;フォックス３;Fox 3;;
17391;31;フォックス４;Fox 4;;
17422;31;Ｍ１／Ａ;M1/A;;
17453;31;Ｍ１／Ｂ;M1/B;;
17484;31;１１;syoki 11;;
17515;31;１２;syoki 12;;
17546;31;１３;syoki 13;;
17577;31;１４;syoki 14;;
17608;31;１５;syoki 15;;
17639;31;１６;syoki 16;;
17670;31;ブラボー１;Bravo 1;;
17701;31;ブラボー２;Bravo 2;;
17732;31;ブラボー３;Bravo 3;;
17763;31;ハーミッド１;Hermit 1;;
17794;31;ハーミッド２;Hermit 2;;
17825;31;敵戦車Ａ;atodu 6;;
